역명,매핑_개수,점수
안국,314,5
혜화,295,4
경복궁,122,3
압구정,76,2
홍대입구,72,2
종로3가,65,2
남부터미널,60,2
청담,58,2
양재,56,2
합정,55,2
시청,54,2
한강진,51,2
삼성,47,1
강남구청,46,1
명동,43,1
종각,41,1
한성대입구,41,1
광화문,40,1
충정로,39,1
상수,39,1
을지로입구,34,1
학여울,31,1
학동,31,1
이태원,30,1
서울,26,1
내방,26,1
월드컵경기장,26,1
가산디지털단지,25,1
역삼,22,1
여의도,22,1
신사,21,1
성수,20,1
뚝섬,20,1
잠실,19,1
회현,19,1
문래,18,1
청량리,18,1
고속터미널,17,1
삼각지,17,1
매봉,17,1
오목교,16,1
성신여대입구,16,1
무악재,15,1
교대,15,1
종로5가,14,1
어린이대공원,14,1
동대문역사문화공원,14,1
여의나루,14,1
신도림,14,1
우장산,14,1
마곡,13,1
창동,13,1
신촌,13,1
서초,13,1
강남,12,1
충무로,12,1
효창공원앞,12,1
신용산,12,1
수유,12,1
망원,11,1
동대입구,11,1
몽촌토성,10,1
문정,10,1
광나루,10,1
영등포시장,10,1
홍제,10,1
불광,9,0
낙성대,9,0
서대문,9,0
화곡,8,0
신길,8,0
장지,8,0
상계,8,0
숙대입구,8,0
당산,8,0
선릉,8,0
상봉,7,0
쌍문,7,0
화랑대,7,0
이촌,7,0
장한평,7,0
대림,7,0
독립문,7,0
을지로4가,7,0
잠원,7,0
천왕,7,0
길음,7,0
구파발,7,0
목동,7,0
하계,6,0
을지로3가,6,0
아차산,6,0
미아,6,0
봉천,6,0
건대입구,6,0
군자,6,0
신당,6,0
녹사평,6,0
약수,5,0
방배,5,0
신정,5,0
대흥,5,0
동대문,5,0
상도,5,0
신림,5,0
상월곡,5,0
수서,5,0
제기동,5,0
반포,5,0
신답,4,0
노원,4,0
공덕,4,0
서울대입구,4,0
장승배기,4,0
방화,4,0
논현,4,0
송파,4,0
구로디지털단지,4,0
왕십리,4,0
구의,3,0
사당,3,0
상일동,3,0
한양대,3,0
천호,3,0
고려대,3,0
길동,3,0
마포,3,0
암사,3,0
총신대입구,3,0
남태령,3,0
뚝섬유원지,3,0
고덕,3,0
미아사거리,3,0
신설동,3,0
종합운동장,3,0
버티고개,3,0
도봉산,3,0
공릉,3,0
창신,3,0
도곡,3,0
연신내,3,0
신대방,3,0
강변,3,0
광흥창,3,0
신정네거리,3,0
신풍,2,0
강동구청,2,0
먹골,2,0
양천구청,2,0
숭실대입구,2,0
용두,2,0
거여,2,0
월곡,2,0
동작,2,0
보문,2,0
영등포구청,2,0
굽은다리,2,0
일원,2,0
까치산,2,0
동묘앞,2,0
청구,2,0
대치,2,0
남구로,2,0
응암,2,0
새절,2,0
올림픽공원,2,0
역촌,2,0
옥수,2,0
송정,2,0
도림천,2,0
온수,2,0
중계,2,0
애오개,2,0
둔촌동,1,0
김포공항,1,0
보라매,1,0
돌곶이,1,0
신대방삼거리,1,0
구산,1,0
증산,1,0
디지털미디어시티,1,0
대청,1,0
독바위,1,0
신금호,1,0
강동,1,0
남성,1,0
마포구청,1,0
마장,1,0
석촌,1,0
명일,1,0
석계,1,0
용마산,1,0
방이,1,0
개롱,1,0
잠실새내,1,0
마천,1,0
오금,1,0
태릉입구,1,0
이대,1,0
면목,1,0
