역명,매핑_개수
안국,314
혜화,295
경복궁,122
압구정,76
홍대입구,72
종로3가,65
남부터미널,60
청담,58
양재,56
합정,55
시청,54
한강진,51
삼성,47
강남구청,46
명동,43
종각,41
한성대입구,41
광화문,40
충정로,39
상수,39
을지로입구,34
학여울,31
학동,31
이태원,30
서울,26
내방,26
월드컵경기장,26
가산디지털단지,25
역삼,22
여의도,22
신사,21
성수,20
뚝섬,20
잠실,19
회현,19
문래,18
청량리,18
고속터미널,17
삼각지,17
매봉,17
오목교,16
성신여대입구,16
무악재,15
교대,15
종로5가,14
어린이대공원,14
동대문역사문화공원,14
여의나루,14
신도림,14
우장산,14
마곡,13
창동,13
신촌,13
서초,13
강남,12
충무로,12
효창공원앞,12
신용산,12
수유,12
망원,11
동대입구,11
몽촌토성,10
문정,10
광나루,10
영등포시장,10
홍제,10
불광,9
낙성대,9
서대문,9
화곡,8
신길,8
장지,8
상계,8
숙대입구,8
당산,8
선릉,8
상봉,7
쌍문,7
화랑대,7
이촌,7
장한평,7
대림,7
독립문,7
을지로4가,7
잠원,7
천왕,7
길음,7
구파발,7
목동,7
하계,6
을지로3가,6
아차산,6
미아,6
봉천,6
건대입구,6
군자,6
신당,6
녹사평,6
약수,5
방배,5
신정,5
대흥,5
동대문,5
상도,5
신림,5
상월곡,5
수서,5
제기동,5
반포,5
신답,4
노원,4
공덕,4
서울대입구,4
장승배기,4
방화,4
논현,4
송파,4
구로디지털단지,4
왕십리,4
구의,3
사당,3
상일동,3
한양대,3
천호,3
고려대,3
길동,3
마포,3
암사,3
총신대입구,3
남태령,3
뚝섬유원지,3
고덕,3
미아사거리,3
신설동,3
종합운동장,3
버티고개,3
도봉산,3
공릉,3
창신,3
도곡,3
연신내,3
신대방,3
강변,3
광흥창,3
신정네거리,3
신풍,2
강동구청,2
먹골,2
양천구청,2
숭실대입구,2
용두,2
거여,2
월곡,2
동작,2
보문,2
영등포구청,2
굽은다리,2
일원,2
까치산,2
동묘앞,2
청구,2
대치,2
남구로,2
응암,2
새절,2
올림픽공원,2
역촌,2
옥수,2
송정,2
도림천,2
온수,2
중계,2
애오개,2
둔촌동,1
김포공항,1
보라매,1
돌곶이,1
신대방삼거리,1
구산,1
증산,1
디지털미디어시티,1
대청,1
독바위,1
신금호,1
강동,1
남성,1
마포구청,1
마장,1
석촌,1
명일,1
석계,1
용마산,1
방이,1
개롱,1
잠실새내,1
마천,1
오금,1
태릉입구,1
이대,1
면목,1
