역명,엘리베이터,에스컬레이터
가락시장,9,34
가산디지털단지,4,14
강남,4,0
강남구청,2,7
강동,3,10
강동구청,3,5
강변,2,2
강일,8,16
개롱,3,2
개화산,2,0
거여,3,3
건대입구,4,13
경복궁,2,10
경찰병원,4,20
고덕,4,6
고려대,4,12
고속터미널,4,45
공덕,7,17
공릉,3,8
광나루,4,4
광명사거리,3,2
광화문,2,4
광흥창,3,9
교대,5,6
구로디지털단지,4,4
구산,1,4
구의,2,6
구파발,2,4
군자,4,14
굽은다리,3,4
금호,3,6
길동,3,3
길음,3,3
김포공항,2,8
까치산,2,12
낙성대,3,8
남구로,0,12
남부터미널,3,2
남성,4,14
남위례,3,7
남태령,3,2
남한산성입구,2,4
내방,5,10
노원,7,23
녹번,3,2
녹사평,3,13
논현,3,19
단대오거리,3,6
답십리,4,4
당고개,3,4
당산,4,1
대림,7,19
대청,3,4
대치,2,8
대흥,2,6
도곡,0,8
도림천,2,0
도봉산,5,0
독립문,2,8
독바위,2,8
돌곶이,3,4
동대문,5,11
동대문역사문화공원,7,13
동대입구,4,4
동묘앞,9,24
동작,2,0
둔촌동,3,3
디지털미디어시티,3,8
뚝섬,4,8
마곡,6,12
마들,4,8
마장,3,4
마천,3,10
마포,2,10
마포구청,4,12
망원,2,2
매봉,3,4
먹골,3,6
면목,3,6
명동,2,5
명일,3,2
모란,3,2
목동,3,4
몽촌토성,4,8
무악재,3,0
문래,4,4
문정,4,8
미사,4,22
미아,3,6
미아사거리,2,2
반포,4,6
발산,3,0
방배,3,2
방이,4,2
방화,3,6
버티고개,5,4
보라매,2,4
보문,1,2
복정,1,5
봉천,2,8
봉화산,4,4
불광,7,14
사가정,3,10
사당,5,21
산성,4,13
삼각지,10,8
삼성,5,4
상계,1,4
상도,3,11
상봉,5,6
상수,3,10
상왕십리,3,8
상월곡,1,6
상일동,4,16
새절,3,4
서대문,3,10
서울대입구,3,8
서울역,6,9
서초,4,8
석계,4,14
석촌,3,0
선릉,3,2
성수,4,8
성신여대입구,4,4
송정,4,4
송파,4,4
수락산,3,7
수서,4,12
수유,3,4
수진,3,0
숙대입구,3,0
숭실대입구,4,12
시청,5,7
신금호,3,12
신길,6,9
신내,1,2
신답,2,0
신당,4,16
신대방,3,8
신대방삼거리,4,12
신도림,4,9
신림,3,8
신사,4,6
신설동,7,0
신용산,4,9
신정,2,10
신정네거리,3,4
신촌,4,4
신풍,4,4
신흥,2,0
쌍문,3,6
아차산,3,8
아현,4,2
안국,2,10
안암,3,6
암사,3,4
압구정,4,9
애오개,5,6
약수,6,13
양재,5,2
양천구청,3,2
양평,3,8
어린이대공원,4,6
여의나루,3,11
여의도,2,4
역삼,4,14
역촌,2,6
연신내,3,10
영등포구청,8,18
영등포시장,3,8
오금,8,22
오목교,3,10
옥수,3,4
온수,3,16
올림픽공원,3,4
왕십리,5,16
용답,2,0
용두,4,12
용마산,3,8
우장산,3,4
월곡,3,12
월드컵경기장,3,12
을지로3가,4,2
을지로4가,4,13
을지로입구,4,6
응암,2,4
이대,3,4
이수,3,23
이촌,5,4
이태원,2,4
일원,4,6
자양,3,4
잠실,7,13
잠실나루,2,4
잠실새내,4,11
잠원,3,0
장승배기,3,14
장암,2,0
장지,4,8
장한평,3,4
제기동,3,2
종각,4,2
종로3가,7,20
종로5가,3,0
종합운동장,3,5
중계,3,10
중곡,3,4
중화,3,6
증산,3,6
지축,1,0
창동,8,6
창신,3,3
천왕,4,6
천호,6,16
철산,4,6
청구,5,10
청담,2,16
청량리,2,6
총신대입구,4,4
충무로,4,23
충정로,4,8
태릉입구,6,24
하계,3,6
하남검단산,4,20
하남시청,4,28
하남풍산,5,24
학동,3,10
학여울,3,2
한강진,3,4
한성대입구,3,2
한양대,2,2
합정,7,16
행당,3,8
혜화,4,4
홍대입구,2,8
홍제,3,0
화곡,2,4
화랑대,5,4
회현,2,6
효창공원앞,2,6
