역명,출구개수
종로3가,16
서울역,16
청담,14
동대문역사문화공원,14
사당,14
왕십리,14
삼각지,14
총신대입구,14
교대,14
당산,13
을지로입구,13
양재,12
잠실,12
대림,12
모란,12
신설동,12
시청,12
을지로3가,12
강남,12
신당,12
길음,10
약수,10
을지로4가,10
숙대입구,10
노원,10
광명사거리,10
선릉,10
공덕,10
고속터미널,10
동대문,10
천호,10
충정로,10
명동,10
학동,10
합정,10
동묘앞,10
논현,10
가락시장,9
발산,9
동작,9
불광,9
디지털미디어시티,9
광화문,9
홍대입구,9
종합운동장,9
보문,8
마포구청,8
화곡,8
태릉입구,8
충무로,8
종로5가,8
목동,8
미아,8
장한평,8
보라매,8
수유,8
신림,8
잠실새내,8
온수,8
삼성,8
오목교,8
역삼,8
상봉,8
서대문,8
마들,8
서초,8
신사,8
석촌,8
신촌,8
서울대입구,8
낙성대,8
뚝섬,8
대청,8
대치,8
내방,8
경복궁,8
남부터미널,8
거여,8
돌곶이,8
답십리,8
군자,8
일원,7
종각,7
수서,7
연신내,7
옥수,7
화랑대,7
회현,7
성신여대입구,7
영등포구청,7
오금,7
한성대입구,7
문래,7
단대오거리,7
상왕십리,7
먹골,7
가산디지털단지,7
장자호수공원,6
제기동,6
수락산,6
어린이대공원,6
구로디지털단지,6
장승배기,6
광흥창,6
압구정,6
신대방삼거리,6
남구로,6
고려대,6
신용산,6
신풍,6
이촌,6
이대,6
안국,6
여의도,6
효창공원앞,6
다산,6
반포,6
동대입구,6
봉천,6
건대입구,6
하계,6
중계,6
청량리,6
미아사거리,6
고덕,5
독립문,5
아차산,5
몽촌토성,5
동구릉,5
강동구청,5
월곡,5
용두,5
별내,5
신정,5
상도,5
신금호,5
녹번,5
봉화산,5
상계,5
중화,4
구산,4
구의,4
공릉,4
우장산,4
철산,4
중곡,4
구리,4
행당,4
혜화,4
강동,4
홍제,4
강남구청,4
구파발,4
응암,4
잠실나루,4
한양대,4
증산,4
강변,4
이태원,4
광나루,4
창신,4
자양,4
천왕,4
경찰병원,4
장지,4
개롱,4
잠원,4
굽은다리,4
마곡,4
영등포시장,4
남한산성입구,4
송파,4
송정,4
성수,4
녹사평,4
새절,4
역촌,4
상월곡,4
상수,4
당고개,4
대흥,4
사가정,4
도곡,4
복정,4
방화,4
방이,4
방배,4
문정,4
무악재,4
명일,4
매봉,4
둔촌동,4
마포,4
마장,4
수진,4
상일동,4
암사,4
신흥,4
김포공항,4
숭실대입구,4
여의나루,4
애오개,4
아현,4
쌍문,4
안암,4
까치산,4
신대방,4
남태령,4
남성,4
금호,4
신정네거리,4
용마산,3
암사역사공원,3
청구,3
올림픽공원,3
산성,3
버티고개,3
월드컵경기장,3
길동,3
면목,3
한강진,3
마천,2
망원,2
용답,2
양평,2
도봉산,2
양천구청,2
개화산,2
도림천,2
창동,2
지축,2
학여울,1
독바위,1
신답,1
장암,1
